lemmatized,sentiment
да так светиться планктон крассивый,positive
ооо этот планктоный красота,positive
фитопланктон,neutral
новороссийск,neutral
serebrin черноморье скорее,neutral
алексей средимореземье как вариант,neutral
новороссузнавать дамба и катер на постамент,neutral
александр где там дамба и катер глаз сломать,neutral
данил мол или дамба разница небольшой торпедный катер на набережная адмирал серебряков,neutral
александр на фото искать так знать где они,neutral
мой город новороссийск,neutral
анастасия сочувствовать,positive
eliot пойти нах,neutral
mister ты тоже сочувствовать,positive
eliot пойти нах ещё раз даунитый,neutral
mister настоящий кубаноид,neutral
eliot это имя твой папка,neutral
eliot а сам откуда,neutral
от арктика до антарктика человек весь мир пройти вот только остров романтик на карта не нанести,positive
это ты ещ нихуева попасть радоваться и не через такой гавный проходить,positive
максим на омский он надо вот там бы посмотреть даже фоткать некогда быть бы,neutral
рабочий состояние пароход такой не видеть повод для нытьё,neutral
дмитрий да если дед и мех не мочь навести порядок по свой заведование припахать мотыль к уборка точно можно быть и удалить подтечь если протекать то заказать уплотнитель перекат бункер и замена уплотнитель,neutral
дима ты что нести какой перекат бункер если ты не заметить то это главный движок потечь и бункер здесь не при чем тк же как и замена уплотнитель,neutral
семён а ну да пойти я нахуй тада,neutral
дима кто он нужный этот порядок я вообще похрить бывать я на этот корыто находиться только изз деньга контракт отработать и быстрый свалить порядок я ещ там не наводить мой собственный чтоль пароход,neutral
павел ну вот из за такой пароход и разваливаться кто то весь контракт вкалывать а кто то сидеть и в нос ковыряться,neutral
семён хаххах он просто хотеть сумничать но увы и ах не не шарить ещ,negative
игорь изз такой как ты машинный команда бесплатно делать тот работа который выполняться по желание и стоить очень дорогоактивист хер сидеть тут,neutral
дмитрий наверное deck cadet,neutral
павел да дохуй кто нужный в чистота и работать приятный,positive
так практиковаться,neutral
попасть на практикуебаш ты за опыт приехать а не на курорт,neutral
а практика критерий истина,neutral
это ещё хуйня,neutral
переучиваться на штурманаглупец,neutral
сергей и быть ходить с недосып,negative
иван я тоже недосыпать из за сигнализация по ночь отработать в мко год,negative
сергей смотреть какой судно если убитый дрова не удивительно,negative
иван на ми летний судно можно заколебаться не меньшечь на ти летнемещ вопрос в томгде судно быть построеноот это многое зависеть а вообще когда штурман жалуютсяхотя это редкость я это не понять не понимать насколько у они классный работагигиена душа и телабыть вс то ради что в море и идутить уровень зарплата то равныйхотя в машина и в градус быть движок перебирать и никуда не денешьсян а финал карьера стать стармех и над ты быть дядя капитанкоторый не разбираться в техника быть ты ещ указание даватьтолько потому что у он на плечо погоныт иногда и старпом свой копейка любить вставить капитан стать даответственность большезато босс и никто не указ ты,positive
сергей классный работа тут вы глубоко ошибаться у штурман тоже хватать свой минус вахта через в редкий случай через хронический недосып огромный бумажный работа isps sms контроль журнал постоянный коррекция карта vetting psc требовать гора документ когда другой отдыхать штурман готовить бумага надо уметь вс хорошо планировать passage plan должный быть точный до минута и градус капитан требовать порт требовать чартер требовать портовый власть и капитан часто давить смотреть какой капитан harbour master агент лоцман всё чтоть хотеть капитан мочь быть нервный конфликтный портовый власть при стоянка в порт выносить мозг так что механика в это время мочь выйти в город в зависимость от порт швартовка опасный и очень ответственный операция радиосвязь контроль дистанция ветер течение если ошибка судно удариться вино штурман механик в это время редко участвовать максимум standby mode постоянный мозговой работа если у механика много физический работа то у штурман почти вс ментальный и психологический давление расчта планирование карта документ это выматывать не маленький чем физический труд так что поверьте у штурман далеко не сладкий жизнь я тоже ранний думать что они попивать кофе на мостик нифига не делать,negative
сергей насчта машина в градус смотреть какой район плавание если это персидский залив оманский залив арабский страна да если это ещ slowspeed engine не удивительно бывать ещ паровой турбина с турбогенератор вместо гд и дг в основное на газовоз там они не такой сильный жара выдавать по сравнение с гд да и намного хороший по сравнение с главный двигатель,neutral
ну заляпать после переход дверца подпоршневой надо протереть и вс деловто а вот что за они находиться а точнее чистка подпоршневой и если они реально долго не убирать вот это ты попасть на практика даже рассказывать не быть кто убирать тот знать,negative
хороший морской практика спрессовать век опыт мореплавание,positive
я последний контракт делать на болгарский балкер старый капец он запустить быть мы с второй мотор месяц через только болееменее привести всё в порядок относительный,positive
серый конторава нормальный компания такой нет да и отношение к работа другой,positive
за то опыт рука прочувствовать,neutral
майор стмастер добыча помогать он помощник точило токарь катать консервный мастер тихон технолог тршникнуть пом капитан поварёнок матрос уборщик враг вахта матрос другой смена,positive
сергей пом копитанатрепак,neutral
николай ну это уж через чур обидно,neutral
сергей да мы в шутка он сам ржать,neutral
сергей а рыба мастер рыбкин,positive
юрий да точно,neutral
сергей у мы другой вахта немец называть,neutral
андрей у мы когда как называть то немец то враг вражеский вахта,negative
юрий тузлук,neutral
никита не слыхать,neutral
юрий не дать бог услышать,neutral
калабах ст матрос,neutral
рыбоеда матрос рыбообработчик немец матрос другой смена мукомол машинист рму бункерман матрос у бункер с рыба,neutral
андрей фабрикант кишкодры,neutral
рогатый судоводитель,neutral
влад весь жизнь рогатый палубный матрос называть,neutral
про начальник забыть,neutral
вопрос к автор член машинный команда и механика в чм разница,neutral
vazgen механика и мотыль,neutral
юрий че блядь,neutral
рыбкин мастер рыбообработка в рыбцех,positive
электромеханик кулон матросматрас моторист мопед,neutral
это тагилла,neutral
реф прачка или прачкун марконь король гна и пара,neutral
шнырить тот кто ходить с палка на конец гвоздь и собирать рыба на пайол и под пайолами,neutral
чирика ый помощник начальник начальник радиостанция страпон старший помощник,positive
леонид у мы тоже страпон,neutral
маслопуп моторист,neutral
мэсменложкомойка,neutral
электродед старый электрон электроникмолодая электрон ченг cheng страпон старпом фиксик машинный кадет,positive
станислав у мы как то моторист кадет быть так боцман он называть пластилиновый,neutral
шкурабоцман,neutral
сергей на север всегда так боцман звать и звать по сей день,neutral
сергей а на юг они придумать себя дракон,neutral
блядь пиздец вы делать не хуй что бы называть кто как звать я в ахуй человек зарабатывать миллион жить по кайф а вы тут какой то хуйня обсуждать,positive
the ну многие из этот прозвище уже стать как второй имя к должность на судно и вроде никто даже не против ну и не везло там миллион зарабатывать и далеко не сразу,neutral
реф мех дед мороз реф машинист отморозок,negative
электромеханик электрод у я вопрос это обидный название или всё по разный воспринимать,negative
рыбак рыбмастер электронэлектромеханик юноша камбузяракамбузник кротытрюмный,neutral
не сталевар а коловар,neutral
электрон за такой гвоздь в голова не забить,neutral
денис мочь это он и быть,neutral
in case of misunderstanding with engratings,neutral
блядь с это ия уже всё ебануться всякий хуйня скидывать,neutral
дед психануть,negative
у вы там вода большой стать с прошлое фото,neutral
иван откачать не мочь,neutral
так это судно быть в док в таллин по установка балласт тритмент док чуткий ввод погрузиться и судно вместе с они завод попасть на счт замена главное динамка и прочее,positive
alexander фигас а что за судно не мочь точно различить номер имо,neutral
мазутный бассейн,neutral
офигеть вот это даа этожий надо так влететь,neutral
после дождь в мгла сверкать бриллиант,neutral
неа форточка,neutral
ну так позиция он не видеть если ты писать что вы в балтика почему он определить индийский океан,neutral
сайид всё верно у он показывать координата верный а индийский океан потому что спутник работать на этот район в мурманск то же показывать индийский океан,positive
на aore переключить,neutral
если близость к порт россия то дать проблема из за борьба с беспилотный опасность это неисправимый,negative
украина уже совсем оборзесть они свой беспилотник по россия наносить удар это международный терроризм и нарушение международный право это не должный оставаться безнаказанный,negative
украина сам себя вредить когда мы атаковать свой дрон мы обязательно они ответный удар отправить пусть потом не ныть,negative
ты всё навария получать потому что у ты синхронизация пропасть с gps в это случай инмарсат не понимать где он находиться и начинать ты присылать навария с весь район у я такой быть каждый раз когда заходить в район спуфинга и джемминг проблема решать путём отсоединение гриб от антенный провод на мачта если постоянно работать в это район можно поставить перемычка вага в сам терминал,positive
саня ещё есть варик вырубить автомат на и v и подождать минутпотом включить и он синхронизироваться,neutral
ты авто принт отключить,neutral
везде где глушить gps быть такой херня вырубать нахрен станция потом по выход включать как быть время и ждать пока принтер высрет метровый портянка дистрес не отключить от автопринта по умолчание никак в провод я бы не лезть хороший метровый портянка и сообщение чем сгореть станция,positive
самый безопасный способ это отключить в любой случай с подмена координата и потеря спутник из сообщение быть шт твой и то не факт что полезный,positive
быть такой проблема я у мыс отто шмидт к я приходить дисстресс из мексика и снятие галочка с автопринта не устранить крч знающий человек подсказать это сбоить gps тут ничего не поделать если есть на судно глонас переключаться смело на он и быть вс чтко потом когда из район выйти то обратно на gps,neutral
sergey в инмарсат нет функция переключение на глонасс ну по крайний мера никогда не встречать и не слышать о это а если ты иметь ввиду переключить с gps на глонасс на основной gpsка которой питать радар экнис то ничего не выйти в инмарсат независимый ресивер gps если я память не изменять пара год назад переключаться и на глонасс и всё равно ничего не работать ходить по дэд реконинга,positive
саня около но у я обратный опыт,neutral
если сигнал gps не пробиваться поставить позиция судный в ручной режим,neutral
наш повар индус на пасха готовить,neutral
валентин заяц потом в кошмар не сниться шутить зачётный повар даже немного завидовать,negative
анатолий ага смешной заяц получиться повар молодец в бюджет вкладываться при это перед каждый смена экипаж делать праздничный стол говорить в индия очень строго отбирать моряк с десятка человек на место претендовать,positive
феерически и подвижный,positive
супер ключ причём наджный и крепкийучитывать он срок эксплуатация не то что из современный супертуллов ранний делать наджный и качественно,positive
механика из х год передать,neutral
для более комфортный работа мочь не только ключ переделывать но и грамотно подсчитывать объём и прочее с учёт температура,positive
да я много раз так делать это же не синий лента сейчас это нормально саморемонт,neutral
psc точно надрать один место км спкм боцман,neutral
владимир схуять весь перечислить кроме тот кто действительно надерт,neutral
фуу млеа совка,neutral
аккуратно забить ручей никак жесть,neutral
без изолента не быть работать,neutral
работать ради кофе тайм,neutral
честно завидовать,negative
каирский базар продавец конец,neutral
хороший окушок,positive
чета вообще не понять обычно глаз вылазить у они от поднятие с такой глубина а тут впоряд выглядеть,positive
александр это рэд снэппер поверхностный рыба,neutral
александр это не морской окунь а только из порода окунев,neutral
дмитрий это окунь минук,neutral
александр это не карп а красный луциан хищный рыба,neutral
дмитрий ну мы такой в росрыбфлот ловить на упаковка писать минук точнее там уже написать это окунь,neutral
александр на спиннинг на воблер или поппер отлично браться в экваториальный атлантика,neutral
дмитрий ну в разный место разный рыба,neutral
александр они много похожий окунь более глубоководный и вроде малый размер и у он выпучить глаз,neutral
александр у автор тоже он более красный в какихтый другой вода ловить,neutral
red snapper,neutral
однажды лечь в дрейф в миля к юг от абиджан так там такой косяк этот окунь быть что вода красный быть за пара час надргали полартелок не такой конечно по кг рыба отличный только шкура сдирать тяжело,positive
отпустить я старча,neutral
фото будто из х,neutral
главное обвинить в весь,neutral
боцман якорный цепь проебал,neutral
александр надеяться жвак выдержать,positive
а жвакагалс быть отдать выходить,neutral
олег вырвать он наверное,neutral
олег жвакогалс не являться какой то особый крепкий предохранитель силовой нагрузка обычно не держать чтобы полморда не разворотить он обычно делать достаточно хрупкий но при это незначительный вес держать,neutral
кирдык остаться без якорь,neutral
что узбек и на флот уже теперь,neutral
артм азербайджанец наверное я друг рассказывать пришлый ия мех азербайджанец вообще русский не знать перевести в моторист,positive
артм уже давненькоэтый мрак полный,negative
якорь смычекотдатьволна пиздец нашальникавжихцепь уйти,neutral
чтоть на мужской,neutral
вввввва это не мужской язык это русскочебурекский,neutral
писать грузин,neutral
трагический роман в стиль мобь дик,neutral
цепь съебал,neutral
короче полный потеря якорь,negative
русичка в глубокий обморок,neutral
просрали якорь,neutral
не рухаться нащальникэ джамшут якиря отдаль цепь в вода пащль волна штормь в борт трах бабах и пинздец нет ма на якиря нащальник,neutral
да ерунда это вс слово самопроизвольно питание он знать а ошибка сделать специально,negative
слово неуправляемый правильно написать а в слово борт ошибка борть ерунда это,negative
пезда цепурах,neutral
процент сей час такой и при чем всё и матрос механика и штурман,neutral
игорь забыть написать рs один из они,neutral
константин ты,neutral
игорь чей комментарий то,neutral
константин мойd,neutral
игорь внимание не хватать идти поплакать,positive
константин костя ты что злиться то сразу я же даже камень в огород не кидать,negative
игорь поменять подушка если тот уже промочить,neutral
константин да у я подушка кончиться блин купиш,neutral
константин некупиш,neutral
алексей дурачок некоторый отдавать под ток,negative
алексей если твой брашпиль смычка отдата весь день то это пздца,neutral
алексей если глубина то только долбаба отдата не под ток,positive
алексей идти далёкий на гнилой жабодава работать,negative
алексей про что не говорить ладный заебал сфоткай свой кру лист и посмотреть на чм ты там работать сам поди на жабодава сидеть где в ящик максимум смычка помещаться и выбываться не вставать на глубина более длина смычка,positive
алексей глубина это смычка давать отдавать якорь что потом ферродый менять пойдть травиться под ток смычка полтора задерживаться и потом отдиться свободный падение до смычка далее под ток ещ так что идти учить матчасть разговаривать смысл с ты неть,positive
алексей идти в кулачок пообщаться далее бить,neutral
алексей как ты,neutral
константин если глубина в шторм только долбоеб или по аварийный становиться на якорь когда у судный весь смычка ни раз не видеть чтобы на смычка даже с метровый глубина в погода типо мс и м волна судно стабильно стоять и никто не отдавать свободно на глубина большой м можно просто не успеть остановить что в целое и произойти,positive
александр ты смотреть тоже с жабодава всё балкер и танкер стоять на такой глубина и если для ты мс и метр волна шторм то для балкер это штиль расчта научиться делать смычка у он на метр глубина у каждый якорь свой удерживать сила,positive
ну короче палец проебал не вставить тарелка разойтись в сторона якорь улететь вместе с жвакогалс поход он списать сейчас сидеть есть бич пакет из чижик а мочь уже и жрать то не что,neutral
метр это ж хрен выловить или всё же,neutral
пока читать чуть язык не сломать,neutral
я один с акцент читать,neutral
осить цеп жалк хароша быть,neutral
почему бы и нет только не футбол а что то вроде игрищь,neutral
рома колизей,neutral
владислав смех смех но какой ни быть безумный шоумен мочь такой замутить тип пока я в нейтральный вода и закон я не указ и показывать что хотеть,negative
как в кино про тюрьма не помнить название с сталлоно и шварценеггер,negative
евгений план побег,neutral
maxim точно,neutral
против пока ни научиться както разумно с мусор справляться,negative
и фекалка не вытянуть,neutral
сергей ничего страшный в машина сделать как обычно прямоток,neutral
это для любитель бейсбол,neutral
помянуть чирика,neutral
после игра за борт выкинуть,negative
а какой это гамма чувство,neutral
юля смайлик такой нет какой это гамма чувство,neutral
сдать в суэцкий и достать с бак новый,positive
наш и плохой думать видеть хахах,negative
а че не так,neutral
а что с лицо не уметь вязать гасить,neutral
стс дело такой,neutral
двый один швартовый можно сделать за мина,neutral
минута работа на штука в один,neutral
на марс уже лететь скоро будутый как пришвартовать судно без конец ум не хватаета на сколько бы облегчить и обезопасить работа палубный команда,positive
карлос это всё существовать для причал но это пздца как дорого плюс это дополнительный расход и не универсальность,positive
у я матрос гаша вязать я ващий пох,neutral
юрий сам наверное не уметь,neutral
юра а есть боцман который не работать матрос,neutral
вопрос не в это быть,neutral
юра вопрос глупый но ответить я уметь,negative
капитан анатолий,neutral
семна он самый,neutral
приехать рассказать что время тяжёлый отсрочить зп на время,neutral
ламб прикольный а корыто старое значит тема российский а супер обычный барыга,positive
руслан какой ламб это феррари,neutral
максим конь на капот,neutral
мафия итальяно,negative
панты плебейский,neutral
на такой корыто сколько не муть ферика не купить народный наверное,neutral
у они зп как у механика,neutral
андрей ну как сказать не думать чтоб они стать заниматься это пусть даже за к этожий сколько перелёт в месяц и разный судно хотя с мы грек супер день кататься это жесть большой не собираться в этот маразм возвращаться,negative
андрей я не знать про тот кто приезжать на пароход в курс только за тот кто сидеть в офис у мы офис в турция и туда ехать с семьть проживание оплачивать зп где то,neutral
андрей к мы супер обычно на день приезжать,neutral
а потом боцман заклеить дифкон,neutral
картоха на камбуз привезти,neutral
ламбаргунь за два кунь,neutral
олеся бизнес план для темщиковы,neutral
олеся это феррари мама мия,neutral
она кнехт позорище то какой эээхо,negative
олеся еиться в клюз и траловый кутец не винить себя,negative
роман в клюз как же это сексуально,neutral
за город не поехать семья и друг не вместить такой себя значит семья и друг в такой машина за город и не ездить логичный,positive
видно на ремонт хорошо нагреться что деньга хватить на такой машина,positive
приехать на судоремонт рассказывать экипаж что у компания деньга нет поэтому зп и саморемонт,neutral
чтоб я так жить,neutral
скоба кинуть надо на капот тип случайно с кран упасть,neutral
какой заблуждение что суперо так богатый,neutral
она что кажый месяц сюда ездиета,neutral
встречать из москва тимати и джтлить,neutral
а это где в спб,neutral
один драйдок,neutral
мочь стажра,neutral
это да тоже скучать,negative
море это навсегда сколько бы год не пройти постоянно вспоминать,neutral
смысл бытие,neutral
залипать сидеть,negative
то чувство когда ты не взять на зачистка и замывка трюм,neutral
мальчишка и девчонка купаться в песок а я сидеть в сторонка в печаль и тоска,negative
стоить один раз заплатить они и они быть вечно появляться,neutral
о бритый мутить,negative
трональд дамп вернуть плиз флот сша в аденский залив,positive
анжей а он там быть я чтоть помнить только китайский да индийский военный корабль,neutral
мифодия вроде бы да но особенно помнить знаменитый видео как с маршал шапошников из весь стрелковый оружие и гранатомт поливать наш моряк говорить что после это вс прекратиться пират в ютуба увидеть и вс и это не байка видеть,neutral
анжей я доводиться там несколько раз ходить в год америкос там не быть,neutral
мифодия я не браться утверждать я гугл забанить,negative
мифодия год быть в дальний поход на тогда ещ бпк маршал шапошников мы в пара с американский военный корабль проводить гражданский караван судно через аденский залив случай ликвидация пират быть в год,negative
в плен и в верхоянск срок отбывать,negative
против автомат пожарный шланг это как по жопа бить нитка когда хотеть наказать,negative
стёб властьимущий,neutral
при всм при это палец они тронуть не мочь,neutral
недавно танкер бахнуть достаточно далеко от берег сомали лодка калаша рпг,neutral
как правило это дух както лететь через амстердам приобрести она луковица тюльпан и голландский сыр,neutral
innokentiy луковица тюльпан в амстердам это чтоть на богатый,positive
обычно дух,neutral
зачем бл ть аноним это знать админ ты че там кукуха поехать,neutral
муж всегда я радовать косметика дух кофе,positive
автор ебобон тут спрашивать нужноа у жена,neutral
собака просто в афиг,neutral
да собака думать сколько ж это жрать она время,neutral
ночью поймать луна а день солнце,neutral
мир в океан,neutral
кто знать тот понять как трудно экипаж в момент это фото,positive
владислав и как же трудно матрос в трюм выгружать продукция механика бункероваться штурман на вахта рулить всё в штатный режим смениться вахта отдыхаетчтый не так,neutral
евгений мех откуда с рифер бункероваться,neutral
вячеслав карл это танкер,neutral
вячеслав да забить хуйн высрало чтоть даже не понимать суть,positive
дмитрий согласный,neutral
евгений да танкер ну мы так никогда не делать перегруз и тутж бункеровка,neutral
вячеслав а вы лично в какой должность в море ходить,neutral
евгений уже ой мех,neutral
вячеслав печально что мех тем более на испанец пишитый такой чушь про бункеровка ну и ладный танкер значит случайно в кадр попасть,negative
евгений я на испанец не работать я в общий говорить когда ходить на рыбак мы выгружаться а потом бункероваться а если у стенка как например в новый зеландия там тоже сначала выгрузка потом на топливный бункеровка,neutral
яработать на гурин,neutral
это бочкарв,neutral
подарить пингвинчик атомоход,neutral
serebrin в антарктика такой не ходить,neutral
валентин вайлдберрис доставить курьер за день,neutral
валентин передумать долой зона свобода попугай ну или кто там у они,neutral
быть бы понятно но не быть,neutral
алексей не только лишь весь,neutral
данон каждый понять,positive
так и проходить незаметно наш год,neutral
андрей так у весь,neutral
мальчишка приходить менеджер в офис и уходить старик к любой профессия применимый только у бенджамин баттон получиться наоборот,neutral
говорить с завод такой же хрень,neutral
преодолевать суровый шторм мы стремиться к горизонт,negative
и даже щит противокрысинный,neutral
и этот люмик как то лишний лист железо заварить и закрасить да и фальшборт как то лишний рым наварить и выбраск обвязать,neutral
мочь ты ещ выходной дать,neutral
мочь ты ещ билет домой на сегодня купить,neutral
мочь жена на борт на весь контракт,neutral
мочь реально уволиться и к любимый,positive
а как ты такой,neutral
как красиво выглядеть будто только с завод выпустить или морской соль палуба ни по чм,neutral
фильтр кингстон передавать привет,neutral
вот на такой бы ходитьня качкиня отшвартовка,neutral
ммммм абиджан,neutral
и фото судно фэйк,neutral
она нормальный кэп точно прятаться не быть,positive
дмитрий правильно он просто быть очень занятый свой важный дело так что здаваться инспекция сам,positive
это к ответ о тот почему я не хотеть возвращаться с научный на торговый флот на больший зарплата я хороший свой стописеть быть по тихонька тут иметь чем гробить здоровье и дышать или пыль или на танкер говно,neutral
алексей нифига у вы зп,negative
алексей абсолютно поддерживать истина для умный человек,positive
хмммслава бог не селитра или сера,neutral
ва о да даже глаз порой открыть не мочь плач как первоклассница,neutral
от сера в каюта пипец вахтенный помощник очки расплавилисьсерапоть жара,neutral
баксит алюминий час погрузка перевод до накопитель ч выгрузка и обратно и в такой ноун стопа минимум месяц это ещ не самый пыльный день быть частый быть такой туман пыль что нефига не видно,negative
рашка хула год рывок и прорыв,neutral
киркоров нарисовать,neutral
кирилл я у мой кот так спрашивать когда он что то натворить,negative
всегда быть интересно чем они там заниматься на танкер,neutral
аквамена састс раджеш кутрапасть тбв,neutral
ала почему нет красиво,neutral
другой мастер приехать закрасить,positive
дамир не посметь,neutral
и гений твой в век прославить быть,positive
текнолоджия,neutral
а воз и ныне там,neutral
давно так хотеть сделать,neutral
сказка не сказка а всякий бывать,positive
слышать наеборота,neutral
сразу вспомниться джорж карлин в чм преимущество жизнь на побережье ты окружн мдаками только с трх сторона,positive
тот такой себя удовольствие на фото если честно по работа и с сторона другой параход,positive
работа как работа по я так хороший чем трюм замывать красить,positive
для вискарий есть,neutral
мужик как на вб или озон найдт пнуть,neutral
ваня на озон видеть такой надо просто с запрос поиграться,neutral
можно на заказ принт отпечатать на любой стакан,neutral
да зачем чтоть покупать завести с кемлибо приятный знакомство душевно поговорить и вы презентовать просто так от душа,positive
где взять где взять хороший не надо вс равно марка утопить,positive
